sample	sequencing_run	end	path
FR-Run	FR-Run	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260013_1.fastq.gz
FR-Run	FR-Run	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260013_2.fastq.gz
FR-Par	FR-Par	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260014_1.fastq.gz
FR-Par	FR-Par	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260014_2.fastq.gz
FR-Lez	FR-Lez	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260015_1.fastq.gz
FR-Lez	FR-Lez	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260015_2.fastq.gz
CN-Lia	CN-Lia	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260016_1.fastq.gz
CN-Lia	CN-Lia	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260016_2.fastq.gz
CN-Bei	CN-Bei	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260017_1.fastq.gz
CN-Bei	CN-Bei	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260017_2.fastq.gz
FR-Cor	FR-Cor	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260018_1.fastq.gz
FR-Cor	FR-Cor	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260018_2.fastq.gz
ES-Bar	ES-Bar	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260019_1.fastq.gz
ES-Bar	ES-Bar	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260019_2.fastq.gz
DE-Jen	DE-Jen	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260020_1.fastq.gz
DE-Jen	DE-Jen	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260020_2.fastq.gz
DE-Dos	DE-Dos	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260021_1.fastq.gz
DE-Dos	DE-Dos	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260021_2.fastq.gz
JP-Tok	JP-Tok	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260022_1.fastq.gz
JP-Tok	JP-Tok	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260022_2.fastq.gz
JP-Sap	JP-Sap	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260023_1.fastq.gz
JP-Sap	JP-Sap	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260023_2.fastq.gz
CN-Shi	CN-Shi	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260024_1.fastq.gz
CN-Shi	CN-Shi	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260024_2.fastq.gz
US-Wis	US-Wis	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260025_1.fastq.gz
US-Wis	US-Wis	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260025_2.fastq.gz
US-Wat	US-Wat	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260026_1.fastq.gz
US-Wat	US-Wat	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260026_2.fastq.gz
CN-Nin	CN-Nin	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260027_1.fastq.gz
CN-Nin	CN-Nin	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260027_2.fastq.gz
US-Sok	US-Sok	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260028_1.fastq.gz
US-Sok	US-Sok	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260028_2.fastq.gz
US-Sdi	US-Sdi	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260029_1.fastq.gz
US-Sdi	US-Sdi	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260029_2.fastq.gz
US-Nca	US-Nca	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260030_1.fastq.gz
US-Nca	US-Nca	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260030_2.fastq.gz
US-Haw	US-Haw	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260031_1.fastq.gz
US-Haw	US-Haw	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260031_2.fastq.gz
US-Col	US-Col	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260032_1.fastq.gz
US-Col	US-Col	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260032_2.fastq.gz
BR-Pal	BR-Pal	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260033_1.fastq.gz
BR-Pal	BR-Pal	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260033_2.fastq.gz
IT-Tre	IT-Tre	1	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260034_1.fastq.gz
IT-Tre	IT-Tre	2	/staging/sfeng77/dataset/suzukii_WGS/published/fastq/SRR10260034_2.fastq.gz
British-Columbia-BC	British-Columbia-BC_S34	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/British-Columbia-BC_S34_L002_R1_001.fastq.gz
British-Columbia-BC	British-Columbia-BC_S34	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/British-Columbia-BC_S34_L002_R2_001.fastq.gz
California-CA	California-CA_S32	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/California-CA_S32_L002_R1_001.fastq.gz
